waktu_pengambilan,barang1,barang2,barang3,barang4,barang5,barang6,barang7,nbarang1,nbarang2,nbarang3,nbarang4,nbarang5,nbarang6,nbarang7,lama_sewa
19/February/2019,Tenda GO kap2 1layer,-,-,-,-,-,-,1,0,0,0,0,0,0,1
19/February/2019,kopmor gas portable,-,-,-,-,-,-,1,0,0,0,0,0,0,1
19/February/2019,Tenda GO kap2 1layer,-,-,-,-,-,-,2,0,0,0,0,0,0,1
19/February/2019,kopmor gas portable,-,-,-,-,-,-,1,0,0,0,0,0,0,1
19/February/2019,Tenda GO java kap2 2layer,-,-,-,-,-,-,1,0,0,0,0,0,0,1
